date,new_key_count,total_keys,new_keys_in_last_14_days,non_expired_keys
2020-12-19,1119,1119,1119,1119
2020-12-20,519,1638,1638,1560
2020-12-21,1068,2706,2706,2515
2020-12-22,2096,4802,4802,4432
2020-12-23,2371,7173,7173,6490
2020-12-24,1586,8759,8759,7612
2020-12-25,594,9353,9353,7651
2020-12-26,783,10136,10136,7842
2020-12-27,876,11012,11012,8061
2020-12-28,1897,12909,12909,9133
2020-12-29,2744,15653,15653,10865
2020-12-30,2900,18553,18553,12543
2020-12-31,2370,20923,20923,13457
2021-01-01,422,21345,21345,12223
2021-01-02,803,22148,21029,11406
2021-01-03,886,23034,21396,10648
2021-01-04,2549,25583,22877,11564
2021-01-05,3446,29029,24227,13353
2021-01-06,2996,32025,24852,14630
2021-01-07,2118,34143,25384,14936
2021-01-08,2171,36314,26961,15181
2021-01-09,961,37275,27139,14110
2021-01-10,524,37799,26787,12598
2021-01-11,1317,39116,26207,11984
2021-01-12,2055,41171,25518,12231
2021-01-13,1850,43021,24468,12341
2021-01-14,1500,44521,23598,12146
2021-01-15,1184,45705,24360,11546
2021-01-16,812,46517,24369,10541
2021-01-17,448,46965,23931,9177
2021-01-18,1421,48386,22803,8946
2021-01-19,1697,50083,21054,9152
2021-01-20,1457,51540,19515,9222
2021-01-21,1385,52925,18782,9269
2021-01-22,1511,54436,18122,9500
2021-01-23,654,55090,17815,8832
2021-01-24,525,55615,17816,8027
2021-01-25,1510,57125,18009,8261
2021-01-26,2019,59144,17973,9042
2021-01-27,1415,60559,17538,9211
2021-01-28,1602,62161,17640,9581
2021-01-29,1334,63495,17790,9648
2021-01-30,648,64143,17626,8991
2021-01-31,467,64610,17645,8138
2021-02-01,1375,65985,17599,8263
2021-02-02,1524,67509,17426,8563
2021-02-03,1105,68614,17074,8441
2021-02-04,863,69477,16552,8097
2021-02-05,777,70254,15818,7719
2021-02-06,733,70987,15897,7288
2021-02-07,366,71353,15738,6474
2021-02-08,364,71717,14592,5737
2021-02-09,1000,72717,13573,5749
2021-02-10,17232,89949,29390,21589
2021-02-11,17831,107780,45619,37322
2021-02-12,17510,125290,61795,52035
2021-02-13,14402,139692,75549,62928
2021-02-14,6987,146679,82069,65978
2021-02-15,10757,157436,91451,72385
2021-02-16,19204,176640,109131,86447
2021-02-17,18113,194753,126139,98408
2021-02-18,17859,212612,143135,108972
2021-02-19,19872,232484,162230,120268
2021-02-20,15357,247841,176854,125696
2021-02-21,8983,256824,185471,123607
2021-02-22,12945,269769,198052,124227
2021-02-23,20312,290081,217364,130334
2021-02-24,20950,311031,221082,135482
2021-02-25,19968,330999,223219,139717
2021-02-26,19862,350861,225571,143776
2021-02-27,15212,366073,226381,143420
2021-02-28,9698,375771,229092,137963
2021-03-01,12616,388387,230951,134599
2021-03-02,20693,409080,232440,138283
2021-03-03,21505,430585,235832,142788
2021-03-04,18137,448722,236110,143967
2021-03-05,20197,468919,236435,147118
2021-03-06,16735,485654,237813,147278
2021-03-07,9760,495414,238590,140967
2021-03-08,13268,508682,238913,137393
2021-03-09,23603,532285,242204,143319
2021-03-10,24574,556859,245828,150190
2021-03-11,24034,580893,249894,156530
2021-03-12,28224,609117,258256,166658
2021-03-13,21204,630321,264248,169872
2021-03-14,11981,642302,266531,164218
2021-03-15,17772,660074,271687,163541
2021-03-16,31983,692057,282977,175946
2021-03-17,32589,724646,294061,188553
2021-03-18,29944,754590,305868,198059
2021-03-19,32601,787191,318272,209311
2021-03-20,27585,814776,329122,215275
2021-03-21,15503,830279,334865,209253
2021-03-22,22143,852422,343740,208499
2021-03-23,40893,893315,361030,224636
2021-03-24,42166,935481,378622,241074
2021-03-25,39664,975145,394252,254051
2021-03-26,40232,1015377,406260,266606
2021-03-27,33874,1049251,418930,272884
2021-03-28,19417,1068668,426366,264920
2021-03-29,26185,1094853,434779,262008
2021-03-30,42855,1137708,445651,273631
2021-03-31,45553,1183261,458615,287147
2021-04-01,40732,1223993,469403,295077
2021-04-02,35246,1259239,472048,297213
2021-04-03,23139,1282378,467602,287804
2021-04-04,18284,1300662,470383,274635
2021-04-05,17249,1317911,465489,258881
2021-04-06,28425,1346336,453021,253027
2021-04-07,46793,1393129,457648,265703
2021-04-08,45193,1438322,463177,276894
2021-04-09,47159,1485481,470104,289943
2021-04-10,33531,1519012,469761,290342
2021-04-11,18940,1537952,469284,277766
2021-04-12,25311,1563263,468410,269996
2021-04-13,46805,1610068,472360,282093
2021-04-14,44218,1654286,471025,291490
2021-04-15,38378,1692664,468671,295872
2021-04-16,38011,1730675,471436,301244
2021-04-17,32447,1763122,480744,301863
2021-04-18,17648,1780770,480108,287749
2021-04-19,27990,1808760,490849,283340
2021-04-20,46332,1855092,508756,294667
2021-04-21,48238,1903330,510201,305781
2021-04-22,39252,1942582,504260,308307
2021-04-23,40038,1982620,497139,311867
2021-04-24,29893,2012513,493501,307366
2021-04-25,16686,2029199,491247,291509
2021-04-26,21112,2050311,487048,278325
2021-04-27,38636,2088947,478879,280921
2021-04-28,38264,2127211,472925,283772
2021-04-29,30274,2157485,464821,279600
2021-04-30,31275,2188760,458085,276573
2021-05-01,26119,2214879,451757,270016
2021-05-02,14335,2229214,448444,253319
2021-05-03,20915,2250129,441369,241429
2021-05-04,37043,2287172,432080,244161
2021-05-05,30964,2318136,414806,241930
2021-05-06,26783,2344919,402337,237621
2021-05-07,27318,2372237,389617,234814
2021-05-08,21541,2393778,381265,228531
2021-05-09,12654,2406432,377233,215643
2021-05-10,18045,2424477,374166,207077
2021-05-11,28857,2453334,364387,208239
2021-05-12,23910,2477244,350033,205490
2021-05-13,18266,2495510,338025,198396
2021-05-14,17318,2512828,324068,190728
2021-05-15,16226,2529054,314175,183065
2021-05-16,10086,2539140,309926,171030
2021-05-17,12610,2551750,301621,160671
2021-05-18,21329,2573079,285907,158495
